wordFrench,wordEnglish,wordPortuguese
Ne s'est pas vu,Hasn't been seen,Não foi visto
Poser une question,Make a question,Fazer uma pergunta
Dimanche,Sunday,Domingo
Oublier,Forget,Esquecer
Quelqu'un,Someone,Alguém
Tels que,Such that,Tais que
Répandre,Spread,Espalhar
Nuit,Early morning,Madrugada
Compter,Count,Contar
Réveiller,Wake up,Despertar
Rien,Nothing,Nada
Après/Puis,After,Depois
Capable,Capable,Capaz
Grossier,Thick,Grosso
Question,Question,Pergunta
Dernier,Last,Último
Devoir,Duty,Dever
Étudier,Study,Estudar
Quand,When,Quando
Certains,Certain,Alguns
Soeur,Sister,Irmã
Encore merci,Thanks again,Obrigado novamente
Environ,Around,Aproximadamente
Même,Same,Mesmo
Frère,Brother,Irmão
Timide,Shy,Tímido
Soustraire,Subtract,Subtrair
Pleut,Rain,Chuva
Onglet,Tab,Guia
Septembre,September,Setembro
Oreiller,Pillow,Travesseiro
De rien,You are welcome,De nada
Fâché,Angry,Nervoso
Pessimiste,Pessimist,Pessimista
Droit,Right,Certo/Direita
Boulevard,Avenue,Avenida
Montrer,Show,Mostrar
Lequel,Which,Qual
Acheter,Buy,Comprar
Professeur,Professor,Professor
Exposer,Expose,Expor
Confirmer,Confirm,Confirmar
Vendredi,Friday,Sexta-feira
Connaître,Know,Conhecer
Pouvoir,Be able to,Poder/Ser Capaz
Prix,Price,Preço
Beaucoup,Much,Bastante
Te fais confiance,Trust you,Ter confiança em
Juillet,July,Julho
Être,Be,Ser
Encore plus,More yet,Ainda mais
Jour,Day,Dia
Ouvrir,Open,Abrir
Venir,Come,Vir
Commodes,Shelf,Cômoda
Étagére,Shelf,Prateleira
Événement,Event,Evento
Lune,Moon,Lua
Pourquoi,Why,Por que/Para que
Aider,Aid/Help,Ajudar
Pourtant,Yet,Contudo
Retrouver,Find/Retrieve,Encontrar
Pas de problème,No problem,Sem problema
Plutôt,Instead of,Em vez de
Pendant que,While,Enquanto
Au fond de,At the end of,No fundo de
Télévision,Television,Televisão
Général,Generally,Geralmente
Fenêtre,Window,Janela
Avis,Notice,Perceber
Chercher,Look for,Procurar
Envoyer,Send,Enviar
Décrire,Describe,Descrever
Modeler,Model,Modelar
Miroir,Mirror,Espelho
Donc,So,Então
Argent,Money,Dinheiro
Dégager,Clean,Limpar
Naître,Being born,Nascer
Memoire,Memory,Memória
Froid,Cold,Frio
Bavarde,Talker,Falante/Tagarela
A peu près/Plus au moins,More or less,Mais ou menos
Ouvert,To open,Abrir
Comment,How,Como
Multiplier,Multiply,Multiplicar
Placard,Closet,Armário
Bien,Good,Bem
Coussin,Cushion,Almofada
Réussir,Sucess,Sucesso
Savoir,Know,Saber
Falloir,Have to,Ter de
Nouveau,New,Novo
Nièce,Nièce,Sobrinha
Aimer,Like,Gostar
Derrière,Behind,Atrás
Voilá,That's it,É isso
Janvier,January,Janeiro
Appeler,Call,Chamar
Pour,For,Para
Four,Oven,Forno
Soleil,Sun,Sol
Rideau,Drape,Cortina
Hier,Yesterday,Ontem
Chambre,Chaimbers/Bedroom,Quarto
Partager,Share,Compartilhar
Frigo,Fridge,Geladeira
Âge,Age,Idade
Par contre,Actually,No entanto
Côte,Side,Lado
Photo,Photo,Foto
Penser,Think,Pensar
Mars,March,Março
Obéir,Obey,Obedecer
Je vous en prie,Please,Por favor
Balle,Ball,Bola
Agencée,Aranged,Arranjado/Disposto
Loin,Far,Longe
Structure,Structure,Estrutura
Sortir,Hang out,Sair
Sur,About/Above,Sobre
On commence,We started,Começamos
Conception,Project,Projetar
Qui,Who,Quem
Optimiste,Optimist,Otimista
Donner,Give/Donate,Dar/Doar
Four micro-ondas,Microwave,Micro-ondas
Charette,Small car,Carrinho
On y va,Here we go,Aqui vamos nós
Autre,Other,Outro
Enregistrer,Record,Gravar
Neveu,Nephew,Sobrinho
Rencontrer,Find,Encontrar
Avoir,Have,Ter
Baignoire,Bathtub,Banheira
Rêveuse,Dreamer,Sonhador
Jusqu'a,Untill,Até
Tenir,Maintain,Manter
Devenir,Become,Tornar
Lundi,Monday,Segunda-feira
Asseoir,Sit,Sentar
Weekend,Weekend,Fim de semana
D'abord,Firstly,Primeiramente
Drôle,Funny,Engraçado
Constant,Constant,Constante
Proche,Next to,Próximo
Chaque,Each,Cada
Jeudi,Thursday,Quinta-feira
Quotidienne,Daily,Cotidiano
Faire,Do,Fazer
En soi,In itself,Em si
Nourriture,Food,Comida
Changer,Change,Mudar
Remplacer,Replace,Substituir
Similaire,Similar,Parecido
Avoir besoin de,Need,Precisar de
Merci,Thanks,Obrigado
Cuisine,Kitchen,Cozinha
Maison,House,Casa
Chanter,Sing,Cantar
Tapis,Carpet,Tapete
Cueillir,Spoon,Colher
Démarrer,Initiate,Iniciar
Dérouler,Unroll,Desenrolar
Découvrir,Discover,Descobrir
Voir,See,Ver
Mot,Word,Palavra
Ordinateur,Computer,Computador
Sous,Beneath,Abaixo
Venir,Come,Vir
Rond,Round,Redondo
Abonner,Sign,Assinar
Effacer,Erase,Apagar
Mai,May,Maio
Laisse tomber,Forget about it,Deixa pra lá
Tante,Aunt,Tia
Vouloir,Want,Querer
Terre,Earth,Terra
Avenir,Future,Futuro
Près,Near,Perto
Évalué,Evaluated,Avaliado
Chaise,Chair,Cadeira
Sentir,Feel,Sentir
Danser,Dance,Dançar
Trotoir,Sidewalk,Calçada
Pas de soucis,No problem,Sem problema
Courir,Run,Correr
Quartier,Neighborhood,Bairro
Diviser,Divide,Dividir
Mercredi,Wednesday,Quarta-feira
Tout,All,Tudo
Parler,Speak,Falar
Ça y est,That's it,É isso
Air,Air,Ar
Phrase,Phrase,Frase
Table(Latin),Table,Mesa
Acquérir,Acquire,Adquirir
Rechercher,Research,Pesquisar
Après midi,Mid day,Meio dia
Combien,How much/How many,Quanto
Tiroir,Drawer,Gaveta
Comprendre,Understand,Compreender/Entender
Depuis,Since,Desde
Rester,Rest,Permanecer
Il faut,Must,Deve
Samedi,Saturday,Sábado
Devant,In front of,Em frente de
Différent,Different,Diferente
Toujors,Always,Sempre
Gauche,Left,Esquerda
Mince,Slim,Magro
Quoi de neuf,What are the news,Quais as novas
Votre avis,Your opinion,Sua opinião
Appuyer,Press,Apoiar/Pressionar
Apprendre,Learn,Aprender
Gros,Fat,Gordo
Avant,Before,Antes
Dehors,Outside,Fora
S'Il vous plaît,Please,Por favor
Selon,Acording to,De acordo com
Sembler,Resemble,Parecer
